22:11:39.052 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-596] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@928bda: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:11:39.052 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-597] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:11:46.100 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-597] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:11:46.100 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-597] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1a4aa37: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:11:46.100 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-598] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:11:53.156 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-598] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:11:53.156 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-598] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1dcc9e5: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:11:53.157 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-599] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:12:00.184 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-599] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:12:00.184 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-599] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@d0ea0: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:12:00.184 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-600] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:12:07.234 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-600] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:12:07.234 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-600] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1818b23: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:12:07.234 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-601] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
